Read date,NSA,Novva,Aligned,Zions Center of Excellence,Canyon Park,Fibernet,Flexential,Draper Coca-Cola (Ground Truth),NSA (acre feet),Novva (acre feet),Aligned (acre feet),Zions Center of Excellence (acre feet),Canyon Park (acre feet),Fibernet (acre feet),Flexential (acre feet),Draper Coca-Cola (Ground Truth) (acre feet)
August 2021,15333,,,,5627,669,44.75,1440,47.05524918,,,,17.26862891,2.053085613,0.1373327073,4.419197731
September 2021,13070,,,,5876,486,28.39,1170,40.11035719,,,,18.03278185,1.491479234,0.08712571083,3.590598157
October 2021,9766,,,,1185,785,28.39,780,29.9707535,,,,3.636631467,2.409076541,0.08712571083,2.393732105
November 2021,7206,,,,475,16,28.39,80,22.11440198,,,,1.457721474,0.04910219702,0.08712571083,0.2455109851
December 2021,5711,,,,381,13,23.38,50,17.52641545,,,,1.169246066,0.03989553508,0.07175058539,0.1534443657
January 2022,6757,48,"4,774",,382,37,18.37,50,20.73647158,0.147306591,14.65086803,,1.172314954,0.1135488306,0.05637545995,0.1534443657
February 2022,6525,95,"4,809",,477,21,15.03,70,20.02448972,0.2915442948,14.75827909,,1.463859249,0.06444663358,0.04612537632,0.2148221119
March 2022,9142,157,"3,991",,418,20,21.71,80,28.05576782,0.4818153082,12.24792927,,1.282794897,0.06137774627,0.06662554358,0.2455109851
April 2022,9544,158,"2,657",,384,79,23.38,120,29.28946052,0.4848841955,8.154033592,,1.178452728,0.2424420978,0.07175058539,0.3682664776
May 2022,12969,181,"1,873",,1271,583,25.05,160,39.80039957,0.5554686037,5.748025938,,3.900555775,1.789161304,0.0768756272,0.4910219702
June 2022,15293,205,"1,359",1304,6134,498,30.06,1180,46.93249369,0.6291218993,4.170617859,4.001829057,18.82455478,1.528305882,0.09225075264,3.62128703
July 2022,23532,231,275,834,11324,662,25.8,1440,72.21705626,0.7089129694,0.8439440112,2.559452019,34.75207994,2.031603402,0.07917729269,4.419197731
August 2022,11134,151,678,1139,6609,622,24.08,1540,34.16899135,0.4634019843,2.080705599,3.49546265,20.28227626,1.908847909,0.07389880651,4.726086463
September 2022,17865,108,"4,477",749,6711,752,30.96,1290,54.82567186,0.3314398299,13.7394085,2.298596598,20.59530276,2.30780326,0.09501275123,3.958864634
October 2022,9766,42,"3,742",547,5563,669,25.8,810,29.9707535,0.1288932672,11.48377633,1.67868136,17.07222013,2.053085613,0.07917729269,2.485798724
